# The table below contains data on the distances and recession speeds
#
# redshift refers to the recession velocity of a galaxy in units of
# the speed of light (this can be larger than one since it is the space
# between us and the galaxy that is expanding);
#
# distance is the distance to the same galaxy, in units of
# Gigalightyears (i.e. billions of light years)
#
# error gives an estimate of the uncertainty on that distance
#
#    redshift   distance   error
#
     0.426      8.118      0.860 
     0.531     12.748      0.998 
     0.333      4.523      0.292 
     0.519     12.689      1.695 
     0.401      8.043      0.815 
     0.205      3.384      0.468 
     0.436      8.384      0.772 
     0.363      7.235      0.467 
     0.436      8.579      0.672 
     0.309      6.272      0.780 
     0.342      6.909      0.668 
     0.159      2.961      0.396 
     0.332      6.538      0.843 
     0.469      9.320      0.687 
     0.239      3.958      0.529 
     0.352      6.877      0.855 
     0.612     12.925      1.072 
     0.631     12.343      1.023 
     0.645     13.044      1.081 
     0.429      9.192      0.847 
     0.497      9.108      1.091 
     0.539     11.103      1.278 
     0.561     11.414      0.894 
     0.619     13.287      1.040 
     0.422      7.403      0.818 
     0.540     11.414      1.367 
     0.218      3.867      0.463 
     0.633     11.680      0.968 
     0.383      6.690      0.678 
     0.302      6.186      1.054 
     0.340      6.690      0.955 
     0.510      9.406      0.910 
     0.421      9.066      1.378 
     0.399      8.043      1.593 
     0.493      9.759      1.169 
     0.687     13.226      1.218 
     0.502     10.267      1.750 
     0.687     13.534      1.060 
     0.495      9.850      0.953 
     0.603     13.044      1.322 
     0.421      8.901      0.656 
     0.348      7.788      0.969 
     0.213      3.797      0.577 
     0.344      5.990      0.469 
     0.274      5.463      0.705 
     0.181      3.100      0.243 
     0.401      9.581      1.765 
     0.416      8.819      1.584 
     0.286      6.598      0.973 
     0.463     10.701      1.380 
     0.341      5.908      0.626 
     0.631     13.534      0.935 
     0.368      6.690      0.524 
     0.309      5.564      0.538 
     0.528     10.950      1.311 
     0.268      4.736      0.567 
     0.216      4.280      0.611 
     0.695     16.574      1.298 
     0.284      5.413      0.723 
     0.508      9.987      1.012 
     0.031      0.474      0.037 
     0.050      0.710      0.065 
     0.026      0.430      0.038 
     0.075      1.141      0.110 
     0.026      0.348      0.035 
     0.101      1.877      0.130 
     0.020      0.303      0.025 
     0.045      0.786      0.069 
     0.043      0.648      0.054 
     0.018      0.288      0.028 
     0.079      1.173      0.081 
     0.088      1.163      0.123 
     0.063      1.100      0.101 
     0.071      1.173      0.103 
     0.025      0.342      0.028 
     0.052      0.866      0.060 
     0.050      0.846      0.070 
     0.024      0.364      0.034 
     0.016      0.242      0.025 
     0.036      0.522      0.041 
     0.049      0.672      0.050 
     0.022      0.284      0.027 
     0.028      0.503      0.042 
     0.124      1.965      0.181 
     0.035      0.539      0.045 
     0.016      0.204      0.023 
     0.017      0.263      0.028 
     0.030      0.554      0.048 
     0.017      0.243      0.025 
     0.028      0.353      0.029 
     0.054      0.790      0.055 
     0.017      0.222      0.023 
     0.024      0.378      0.035 
     0.039      0.663      0.040 
     0.032      0.476      0.037 
     0.018      0.234      0.024 
     0.026      0.434      0.032 
     0.025      0.364      0.029 
     0.036      0.610      0.048 
     0.023      0.345      0.029 
     0.016      0.244      0.025 
     0.022      0.311      0.030 
     0.016      0.219      0.022 
     0.030      0.489      0.036 
     0.016      0.234      0.026 
     0.504     10.554      0.875 
     0.582     13.722      1.327 
     0.496      9.537      0.879 
     0.346      6.508      0.749 
     0.679     17.038      2.119 
     0.868     20.111      1.575 
     0.331      5.935      0.574 
     0.688     13.786      1.460 
     0.800     19.835      2.467 
     0.532     12.062      1.611 
     0.449      8.461      0.935 
     0.371      7.472      0.792 
     0.291      4.221      0.622 
     0.463      9.192      0.720 
     0.461      8.658      0.718 
     0.285      5.122      0.307 
     0.633     14.636      1.685 
     0.818     21.950      2.730 
     0.949     23.197      1.816 
     0.695     13.659      2.139 
     0.627     12.631      1.338 
     0.905     19.117      1.409 
     0.604     11.788      1.737 
     0.791     18.341      1.774 
     0.581     12.118      1.005 
     0.592     12.230      1.408 
     0.721     16.048      1.700 
     0.526     10.267      1.371 
     0.415      8.422      0.659 
     0.357      6.973      0.707 
     0.430      7.506      0.622 
     0.521     10.033      1.525 
     0.691     15.755      2.830 
     0.741     16.960      1.875 
     0.620     14.237      1.705 
     0.830     17.275      1.353 
     0.643     15.185      1.539 
     1.010     28.407      2.224 
     0.470      8.307      0.765 
     0.610     11.952      1.596 
     0.263      4.628      0.448 
     0.358      6.243      0.604 
     0.730     16.882      2.022 
     0.451      6.073      0.643 
     0.910     22.669      1.879 
     0.552      9.320      1.760 
     0.710     18.006      2.820 
     0.930     25.086      2.195 
     0.337      6.389      0.500 
     0.752     15.326      1.624 
     0.822     18.426      1.867 
     0.950     21.950      1.516 
     0.817     18.089      1.750 
     0.340      6.909      0.541 
     0.613     13.472      2.420 
     0.840     19.473      1.525 
     0.550     11.572      1.546 
     1.755     37.621      6.238 
     0.475      8.983      0.869 
     0.950     20.018      3.227 
     0.840     17.355      1.759 
     0.954     23.197      2.992 
     0.900     17.117      2.050 
     0.935     19.926      2.753 
     0.670     13.913      1.602 
     0.735     13.596      1.253 
     0.640     12.806      1.534 
     1.340     30.862      4.549 
     1.140     28.017      3.871 
     1.305     25.552      3.648 
     1.300     32.917      3.184 
     0.970     27.506      4.688 
     1.370     35.598      4.263 
     1.020     20.111      2.594 
     1.230     34.628      3.828 
     1.140     24.741      3.647 
     0.975     22.255      2.768 
     1.230     31.581      3.055 
     0.954     18.855      2.432 
     0.740     15.185      1.609 
     0.460      8.942      1.359 
     0.854     19.835      2.741 
     0.839     15.683      1.517 
     1.020     25.670      2.365 
     1.120     27.506      2.407 
     1.010     28.802      2.653 
     1.390     30.579      2.817 
